1,39,107
1,44,115
1,48,109
2,46,117
2,48,124
2,49,130
3,50,161
3,58,136
3,71,108
4,64,108
4,69,88
4,71,68
5,77,145
5,82,131
5,86,117
6,77,147
6,101,155
6,120,139
7,81,89
7,106,92
7,111,72
8,91,113
8,120,119
8,135,127
9,101,141
9,108,134
9,117,127
10,105,107
10,118,97
10,113,92
11,105,131
11,107,127
11,109,122
12,122,92
12,146,70
12,158,47
13,132,89
13,165,81
13,195,68
14,142,155
14,146,135
14,152,112
15,142,157
15,150,169
15,156,172
16,149,140
16,176,127
16,151,108
17,156,124
17,165,125
17,173,128
18,156,169
18,172,152
18,177,135
19,175,174
19,176,163
19,177,152
20,175,176
20,180,186
20,186,195
21,178,117
21,181,97
21,181,79
