1,47,104
1,54,107
1,61,106
2,49,135
2,51,142
2,57,148
3,58,149
3,58,150
3,58,151
4,62,106
4,69,101
4,76,95
5,69,64
5,70,71
5,72,78
6,72,79
6,76,86
6,82,90
7,77,95
7,78,92
7,78,90
8,79,124
8,77,131
8,75,138
9,83,90
9,90,92
9,97,94
10,84,181
10,89,174
10,93,167
11,86,89
11,91,82
11,97,75
12,88,128
12,95,125
12,102,123
13,89,147
13,91,141
13,93,135
14,94,166
14,95,159
14,101,157
15,98,74
15,102,67
15,107,60
16,98,95
16,105,95
16,112,97
17,102,156
17,105,149
17,109,142
18,102,158
18,106,158
18,110,159
19,103,123
19,110,123
19,117,122
20,108,94
20,114,88
20,121,83
21,110,141
21,114,135
21,117,131
22,110,168
22,117,168
22,123,161
23,113,98
23,120,98
23,127,99
24,117,135
24,124,140
24,131,145
25,118,122
25,125,121
25,132,120
26,122,82
26,129,76
26,136,70
27,124,160
27,129,153
27,133,146
28,128,99
28,135,99
28,142,99
29,133,120
29,140,119
29,147,118
30,134,145
30,137,142
30,138,140
31,134,148
31,141,152
31,148,155
32,137,69
32,143,63
32,148,56
33,143,99
33,150,98
33,157,98
34,148,118
34,155,118
34,162,118
35,149,55
35,151,52
35,152,49
36,149,155
36,156,151
36,163,147
37,151,156
37,156,163
37,162,170
38,158,98
38,165,97
38,172,95
39,162,171
39,164,178
39,165,185
40,163,118
40,170,118
40,177,120
41,164,146
41,171,140
41,178,134
42,165,186
42,167,193
42,169,200
43,170,201
43,171,205
43,173,209
44,171,61
44,177,68
44,182,75
45,173,94
45,180,91
45,186,86
46,178,121
46,183,126
46,180,133
47,182,76
47,185,81
47,186,85
