1,43,142
1,45,136
1,51,117
2,43,144
2,49,159
2,81,135
3,50,107
3,65,110
3,73,144
4,56,144
4,59,137
4,65,119
5,68,83
5,71,78
5,75,63
6,78,88
6,98,79
6,102,85
7,82,68
7,86,69
7,97,70
8,83,148
8,95,147
8,102,112
9,93,100
9,98,98
9,111,88
10,98,145
10,113,142
10,120,99
11,109,165
11,111,159
11,113,143
12,116,147
12,133,160
12,154,209
13,119,123
13,132,117
13,167,92
14,122,85
14,132,86
14,137,76
15,129,131
15,145,135
15,177,122
16,134,69
16,139,65
16,146,50
17,156,144
17,160,152
17,172,173
18,160,125
18,165,120
18,178,109
