1,49,93
1,56,97
1,63,98
2,59,185
2,59,178
2,60,171
3,60,170
3,62,163
3,63,156
4,61,135
4,68,139
4,75,139
5,63,155
5,65,148
5,66,141
6,64,97
6,71,95
6,78,92
7,68,125
7,70,118
7,75,111
8,75,110
8,78,103
8,79,96
9,76,139
9,83,139
9,90,139
10,78,91
10,83,84
10,88,77
11,79,93
11,79,94
11,79,95
12,91,139
12,98,139
12,105,139
13,92,94
13,99,97
13,103,92
14,95,184
14,98,179
14,105,173
15,97,130
15,95,123
15,96,116
16,99,140
16,99,147
16,97,154
17,103,91
17,106,84
17,108,77
18,106,139
18,113,139
18,120,140
19,106,173
19,113,171
19,117,164
20,108,76
20,110,69
20,112,62
21,113,49
21,113,55
21,113,61
22,113,172
22,113,175
22,113,178
23,117,163
23,118,156
23,120,149
24,120,148
24,121,141
24,127,140
25,123,108
25,130,113
25,137,117
26,128,140
26,135,140
26,142,140
27,138,117
27,142,118
27,146,122
28,142,200
28,136,193
28,134,186
29,161,64
29,158,71
29,155,78
30,163,137
30,159,141
30,152,140
31,164,139
31,171,143
31,178,148
