1,37,116
1,44,122
1,50,124
2,50,122
2,55,121
2,59,121
3,50,125
3,50,132
3,49,139
4,53,120
4,54,113
4,55,106
5,55,105
5,57,98
5,59,91
6,60,90
6,67,86
6,74,84
7,68,172
7,68,165
7,70,158
8,70,157
8,72,150
8,74,143
9,74,119
9,81,123
9,88,123
10,74,142
10,76,136
10,78,130
11,75,84
11,77,84
11,79,84
12,89,123
12,96,123
12,103,122
13,102,123
13,102,130
13,101,137
14,104,122
14,111,121
14,118,122
15,104,171
15,101,164
15,98,157
16,105,120
16,105,113
16,106,106
17,106,105
17,107,98
17,108,91
18,107,77
18,108,84
18,108,90
19,113,120
19,118,113
19,125,107
20,113,122
20,116,128
20,123,134
21,119,122
21,126,122
21,133,122
22,124,135
22,131,141
22,138,146
23,126,106
23,132,99
23,137,92
24,134,122
24,141,121
24,148,122
25,138,91
25,142,84
25,146,77
26,139,147
26,145,154
26,148,161
27,146,76
27,150,70
27,153,64
28,148,162
28,149,169
28,150,176
29,149,122
29,156,122
29,163,122
30,150,177
30,152,184
30,155,191
31,155,192
31,157,195
31,158,197
32,159,95
32,166,98
32,173,103
33,164,122
33,171,122
33,178,122
34,174,103
34,181,108
34,186,115
35,179,122
35,186,119
35,192,120
36,186,116
36,186,117
36,186,118
