1,46,125
1,53,127
1,60,125
2,50,156
2,53,149
2,60,147
3,54,147
3,55,140
3,59,133
4,59,127
4,59,130
4,59,132
5,61,124
5,67,118
5,74,113
6,61,146
6,68,142
6,75,137
7,64,96
7,66,89
7,70,82
8,66,108
8,65,113
8,66,118
9,67,120
9,74,127
9,80,133
10,70,62
10,73,69
10,72,76
11,70,81
11,71,79
11,72,77
12,70,86
12,77,86
12,84,84
13,75,113
13,76,112
13,77,111
14,76,136
14,78,134
14,78,133
15,80,132
15,87,128
15,93,121
16,81,134
16,86,141
16,92,148
17,85,84
17,92,85
17,99,87
18,92,73
18,99,75
18,106,74
19,93,149
19,98,156
19,101,163
20,94,120
20,100,114
20,106,107
21,100,76
21,102,83
21,104,90
22,101,164
22,103,171
22,103,178
23,103,179
23,104,186
23,104,193
24,104,194
24,106,199
24,107,204
25,105,90
25,108,94
25,111,97
26,106,106
26,107,104
26,108,103
27,107,74
27,114,73
27,121,73
28,108,159
28,107,152
28,108,145
29,115,118
29,115,125
29,113,132
30,120,129
30,127,134
30,134,137
31,122,73
31,129,73
31,136,73
32,129,164
32,130,157
32,133,150
33,130,109
33,137,110
33,144,108
34,134,149
34,135,142
34,137,137
35,137,73
35,144,73
35,151,72
36,142,117
36,141,124
36,139,131
37,145,107
37,149,105
37,153,102
38,149,155
38,152,148
38,154,141
39,152,72
39,159,72
39,166,72
40,154,140
40,157,135
40,159,128
41,157,137
41,164,137
41,171,138
42,159,127
42,159,123
42,160,120
43,167,72
43,174,71
43,181,72
44,172,174
44,175,169
44,176,162
45,174,175
45,177,182
45,182,189
46,176,161
46,176,154
46,177,147
47,177,146
47,178,139
47,179,132
48,179,131
48,180,124
48,182,117
49,182,73
49,188,77
49,193,80
50,182,116
50,183,109
50,185,102
51,182,190
51,184,191
51,185,191
52,184,95
52,184,98
52,185,101
