1,40,139
1,44,128
1,46,94
2,50,128
2,60,127
2,83,89
3,54,148
3,54,153
3,55,166
4,56,168
4,72,174
4,74,120
5,57,101
5,62,102
5,66,88
6,58,122
6,59,118
6,62,104
7,84,121
7,90,123
7,104,110
8,88,158
8,93,149
8,98,122
9,106,143
9,108,140
9,111,129
10,106,145
10,116,154
10,142,128
11,110,98
11,122,95
11,155,67
12,113,122
12,119,127
12,138,127
13,119,143
13,120,140
13,123,130
14,129,93
14,148,91
14,199,104
15,136,153
15,148,152
15,182,126
16,139,143
16,147,137
16,165,118
17,169,142
17,184,157
17,197,200
