1,44,102
1,46,109
1,51,116
2,52,117
2,59,118
2,62,112
3,59,119
3,59,126
3,57,133
4,60,124
4,62,124
4,63,125
5,63,111
5,65,104
5,67,97
6,64,93
6,69,88
6,76,83
7,67,93
7,67,95
7,67,96
8,69,174
8,68,167
8,69,160
9,73,137
9,72,144
9,71,151
10,77,83
10,84,82
10,90,87
11,84,131
11,88,136
11,95,136
12,96,136
12,103,134
12,109,131
13,101,175
13,100,168
13,103,161
14,102,105
14,109,103
14,116,99
15,104,161
15,106,160
15,107,159
16,105,135
16,105,142
16,103,149
17,117,98
17,121,97
17,124,98
18,134,156
18,132,149
18,133,142
19,143,95
19,144,102
19,143,109
20,143,110
20,141,117
20,139,124
21,144,113
21,149,119
21,155,123
22,156,123
22,163,121
22,170,118
23,171,117
23,172,110
23,173,103
24,171,119
24,171,126
24,170,133
25,173,102
25,174,95
25,175,88
26,176,87
26,177,80
26,178,73
27,179,58
27,180,65
27,179,72
28,180,188
28,176,181
28,172,174
