1,54,140
1,59,135
1,61,128
2,56,141
2,57,147
2,59,153
3,61,127
3,63,120
3,63,113
4,64,112
4,64,105
4,65,98
5,64,118
5,70,115
5,75,108
6,65,83
6,66,90
6,65,97
7,76,107
7,81,100
7,87,93
8,80,123
8,87,127
8,94,126
9,88,92
9,95,85
9,102,80
10,95,126
10,102,126
10,109,125
11,102,97
11,109,100
11,116,100
12,103,79
12,110,75
12,117,73
13,106,126
13,105,133
13,104,140
14,113,101
14,113,108
14,110,115
15,116,99
15,117,92
15,119,85
16,117,101
16,124,101
16,131,100
17,118,73
17,125,74
17,132,77
18,120,81
18,120,83
18,120,84
19,126,152
19,126,145
19,128,138
20,129,137
20,129,130
20,125,123
21,131,131
21,135,129
21,136,126
22,132,99
22,136,99
22,140,99
23,133,77
23,140,80
23,147,82
24,148,83
24,155,89
24,159,95
25,149,149
25,149,142
25,149,135
26,162,96
26,156,100
26,154,107
