1,56,134
1,63,138
1,70,139
2,60,79
2,67,83
2,74,84
3,71,139
3,78,139
3,85,138
4,75,84
4,82,83
4,89,83
5,86,138
5,93,138
5,100,137
6,90,83
6,97,82
6,104,82
7,91,114
7,98,117
7,105,117
8,96,167
8,94,161
8,91,155
9,98,138
9,96,145
9,92,152
10,101,136
10,104,129
10,108,122
11,103,93
11,107,86
11,110,82
12,103,135
12,110,134
12,117,133
13,106,117
13,113,114
13,116,107
14,108,118
14,108,120
14,108,121
15,111,82
15,114,75
15,118,68
16,112,145
16,106,152
16,100,159
17,113,82
17,120,82
17,127,81
18,115,114
18,122,114
18,129,113
19,117,106
19,118,103
19,119,101
20,118,132
20,122,131
20,125,130
21,119,67
21,121,61
21,123,55
22,122,192
22,129,196
22,136,198
23,128,81
23,135,81
23,142,81
24,130,101
24,137,97
24,144,91
25,130,113
25,137,116
25,144,120
26,137,199
26,144,201
26,151,199
27,143,81
27,150,81
27,157,80
28,145,90
28,150,87
28,152,83
29,145,121
29,150,128
29,152,135
30,149,202
30,149,204
30,149,206
31,152,198
31,153,191
31,154,184
32,153,136
32,154,143
32,154,150
33,154,151
33,155,158
33,155,165
34,154,183
34,155,176
34,155,169
35,155,166
35,155,167
35,155,168
36,158,80
36,165,75
36,172,71
37,172,70
37,173,68
37,173,67
