1,38,141
1,45,144
1,52,142
2,50,91
2,57,94
2,64,98
3,53,141
3,60,137
3,66,133
4,62,174
4,60,167
4,61,160
5,65,98
5,72,100
5,77,103
6,65,136
6,65,143
6,63,150
7,67,132
7,68,125
7,70,118
8,69,127
8,75,126
8,80,120
9,74,99
9,75,92
9,77,85
10,77,76
10,77,80
10,77,84
11,78,103
11,80,104
11,82,105
12,102,96
12,102,103
12,101,110
13,110,95
13,117,96
13,124,96
14,119,128
14,122,121
14,125,114
15,125,96
15,132,96
15,139,95
16,125,113
16,126,108
16,127,103
17,140,95
17,147,95
17,154,96
18,140,125
18,141,118
18,143,111
19,142,121
19,148,119
19,153,113
20,144,105
20,144,108
20,144,110
21,155,96
21,162,94
21,169,95
22,156,104
22,163,110
22,167,114
23,163,133
23,163,126
23,165,119
24,166,118
24,173,121
24,178,128
25,167,110
25,170,103
25,170,96
26,172,98
26,174,98
26,175,99
27,179,129
27,184,136
27,185,143
28,190,146
28,183,147
28,176,147
