1,54,156
1,51,149
1,50,142
2,62,80
2,63,87
2,63,94
3,62,95
3,62,102
3,60,109
4,79,124
4,78,117
4,73,112
5,103,122
5,110,124
5,117,124
6,107,124
6,107,131
6,105,138
7,109,122
7,110,115
7,113,108
8,113,107
8,115,100
8,117,93
9,117,90
9,117,91
9,117,92
10,118,124
10,125,124
10,132,123
11,122,99
11,129,101
11,136,103
12,122,182
12,120,176
12,113,174
13,133,123
13,140,123
13,147,122
14,137,103
14,142,104
14,146,105
15,148,122
15,155,122
15,162,122
16,154,123
16,158,130
16,162,137
17,158,85
17,152,78
17,145,75
18,162,138
18,164,145
18,162,152
19,162,153
19,158,160
19,151,165
20,163,122
20,170,122
20,177,121
21,178,121
21,185,123
21,191,126
