1,36,100
1,49,104
1,60,104
2,47,136
2,58,131
2,72,122
3,60,179
3,63,166
3,63,152
4,60,181
4,82,172
4,104,161
5,62,104
5,64,94
5,64,83
6,70,142
6,73,124
6,76,105
7,74,156
7,91,155
7,105,155
8,77,115
8,88,108
8,95,105
9,78,96
9,83,80
9,86,64
10,97,101
10,121,81
10,144,58
11,101,115
11,105,105
11,108,94
12,105,157
12,110,175
12,124,188
13,109,125
13,135,125
13,160,125
14,113,92
14,128,91
14,142,95
15,116,117
15,120,107
15,125,97
16,119,157
16,123,176
16,127,194
17,121,155
17,163,155
17,204,163
18,134,116
18,138,106
18,142,97
