1,48,131
1,55,133
1,59,127
2,56,134
2,56,135
2,56,136
3,60,126
3,63,119
3,65,112
4,66,111
4,69,104
4,72,97
5,73,112
5,80,114
5,87,114
6,80,123
6,84,127
6,89,132
7,82,166
7,81,159
7,80,152
8,85,127
8,86,121
8,87,115
9,85,131
9,83,138
9,83,145
10,87,113
10,93,109
10,100,106
11,89,109
11,89,102
11,90,95
12,90,94
12,91,87
12,92,80
13,90,132
13,97,135
13,104,139
14,91,68
14,92,74
14,92,79
15,101,105
15,108,101
15,115,95
16,105,139
16,112,144
16,119,148
17,115,114
17,120,120
17,127,121
18,116,95
18,123,88
18,130,81
19,120,149
19,126,155
19,129,162
20,128,121
20,135,121
20,142,120
21,129,163
21,130,170
21,132,177
22,131,81
22,136,74
22,141,67
23,132,178
23,134,185
23,137,192
24,136,98
24,143,96
24,150,93
25,137,193
25,138,195
25,140,197
26,140,134
26,147,139
26,154,141
27,140,149
27,147,156
27,154,160
28,142,66
28,144,62
28,145,59
29,143,120
29,150,121
29,157,120
30,151,92
30,157,89
30,161,85
31,155,161
31,158,163
31,160,163
32,158,120
32,165,120
32,172,121
33,160,90
33,166,97
33,172,104
34,173,105
34,179,112
34,181,119
35,173,121
35,177,121
35,180,119
