1,63,157
1,65,151
1,72,149
2,72,136
2,73,129
2,74,122
3,73,148
3,80,146
3,87,143
4,75,121
4,77,115
4,78,110
5,75,125
5,77,124
5,79,124
6,86,134
6,88,127
6,89,120
7,88,142
7,94,135
7,93,128
8,89,126
8,91,127
8,92,127
9,90,119
9,91,112
9,93,107
10,97,119
10,104,122
10,107,116
11,105,123
11,105,130
11,104,137
12,106,126
12,113,126
12,120,126
13,107,115
13,109,108
13,110,101
14,108,195
14,104,188
14,100,181
15,110,100
15,112,93
15,113,86
16,114,85
16,116,78
16,117,71
17,117,70
17,119,63
17,120,56
18,120,51
18,120,53
18,120,55
19,121,126
19,128,126
19,135,126
20,136,126
20,143,127
20,150,127
21,151,127
21,158,127
21,165,127
22,166,127
22,173,127
22,180,127
23,180,125
23,186,129
23,193,134
