1,35,108
1,41,115
1,47,122
2,69,126
2,68,119
2,71,112
3,70,120
3,77,119
3,84,118
4,71,111
4,74,104
4,77,97
5,74,167
5,75,160
5,75,153
6,75,152
6,76,150
6,76,148
7,77,155
7,84,151
7,90,144
8,78,96
8,81,89
8,82,82
9,85,118
9,92,117
9,99,117
10,91,143
10,98,136
10,103,129
11,100,117
11,107,117
11,114,116
12,104,128
12,109,123
12,111,118
13,108,102
13,115,100
13,122,99
14,109,108
14,110,105
14,110,103
15,111,100
15,112,93
15,115,86
16,111,122
16,118,128
16,124,135
17,115,85
17,117,78
17,120,71
18,115,116
18,122,116
18,129,116
19,120,64
19,120,67
19,120,70
20,123,98
20,130,95
20,137,91
21,125,136
21,131,143
21,138,150
22,130,116
22,137,117
22,144,117
23,138,91
23,145,86
23,152,80
24,138,151
24,145,157
24,150,164
25,145,117
25,152,117
25,159,117
26,151,165
26,154,172
26,155,179
27,153,79
27,158,72
27,163,65
28,155,180
28,155,187
28,156,194
29,157,195
29,158,202
29,159,209
30,160,117
30,167,118
30,174,119
31,163,64
31,166,59
31,168,54
32,169,94
32,176,101
32,181,108
33,175,119
33,182,119
33,189,120
34,182,109
34,184,113
34,185,117
35,190,121
35,192,122
35,194,123
