1,28,130
1,31,120
1,34,109
2,28,132
2,42,146
2,59,140
3,42,102
3,53,105
3,57,106
4,55,118
4,56,123
4,56,124
5,58,123
5,83,120
5,74,104
6,61,106
6,66,107
6,71,108
7,62,142
7,75,138
7,68,128
8,78,138
8,81,131
8,82,123
9,79,140
9,83,176
9,95,149
10,85,110
10,89,101
10,89,92
11,95,83
11,103,83
11,104,87
12,95,132
12,99,121
12,101,113
13,95,134
13,116,133
13,106,117
14,118,116
14,130,115
14,137,113
15,119,137
15,134,135
15,137,117
16,137,137
16,167,138
16,145,120
17,140,115
17,162,111
17,180,94
18,171,139
18,177,141
18,183,144
